Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2025-06-15,2025-06-16,2025-07-15,SUBSCRIPTION,PAYPAL,,,PAYPAL,25.99,AUD,2.36,25.99,SALE,APPROVED,SETTLED,AU,2025-07-16
2025-06-15,2025-06-16,2025-07-15,SUBSCRIPTION,PAYPAL,,,PAYPAL,25.99,AUD,2.36,25.99,SALE,NEW,SETTLED,AU,2025-07-16
2025-06-15,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,25.99,SALE,APPROVED,,AU,
2025-06-15,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,25.99,SALE,NEW,,AU,
2025-05-15,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,25.99,SALE,APPROVED,,AU,
2025-05-15,2025-05-16,2025-06-15,SUBSCRIPTION,PAYPAL,,,PAYPAL,25.99,AUD,2.36,25.99,SALE,APPROVED,SETTLED,AU,2025-06-16
2025-05-15,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,25.99,SALE,NEW,,AU,
2025-05-15,2025-05-16,2025-06-15,SUBSCRIPTION,PAYPAL,,,PAYPAL,25.99,AUD,2.36,25.99,SALE,NEW,SETTLED,AU,2025-06-16
2025-04-15,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,25.99,SALE,APPROVED,,AU,
2025-04-15,2025-04-16,2025-05-15,SUBSCRIPTION,PAYPAL,,,PAYPAL,25.99,AUD,2.36,25.99,SALE,NEW,SETTLED,AU,2025-05-16
2025-04-15,2025-04-16,2025-05-15,SUBSCRIPTION,PAYPAL,,,PAYPAL,25.99,AUD,2.36,25.99,SALE,APPROVED,SETTLED,AU,2025-05-16
2025-04-15,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,25.99,SALE,NEW,,AU,
2025-03-18,2025-03-19,2025-04-18,SUBSCRIPTION,PAYPAL,,,PAYPAL,25.99,AUD,2.36,25.99,SALE,NEW,SETTLED,AU,2025-04-19
2025-03-18,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,25.99,SALE,NEW,,AU,
2025-03-18,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,25.99,SALE,APPROVED,,AU,
2025-03-18,2025-03-19,2025-04-18,SUBSCRIPTION,PAYPAL,,,PAYPAL,25.99,AUD,2.36,25.99,SALE,APPROVED,SETTLED,AU,2025-04-19
2025-02-18,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,25.99,SALE,NEW,,AU,
2025-02-18,2025-02-19,2025-03-18,SUBSCRIPTION,PAYPAL,,,PAYPAL,25.99,AUD,2.36,25.99,SALE,NEW,SETTLED,AU,2025-03-19
2025-02-18,2025-02-19,2025-03-18,SUBSCRIPTION,PAYPAL,,,PAYPAL,25.99,AUD,2.36,25.99,SALE,APPROVED,SETTLED,AU,2025-03-19
2025-02-18,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,25.99,SALE,APPROVED,,AU,
2025-01-18,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,25.99,SALE,NEW,,AU,
2025-01-18,2025-01-19,2025-02-18,SUBSCRIPTION,PAYPAL,,,PAYPAL,25.99,AUD,2.36,25.99,SALE,APPROVED,SETTLED,AU,2025-02-19
2025-01-18,2025-01-19,2025-02-18,SUBSCRIPTION,PAYPAL,,,PAYPAL,25.99,AUD,2.36,25.99,SALE,NEW,SETTLED,AU,2025-02-19
2025-01-18,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,25.99,SALE,APPROVED,,AU,
2024-12-18,2024-12-19,2025-01-18,SUBSCRIPTION,PAYPAL,,,PAYPAL,25.99,AUD,2.36,25.99,SALE,NEW,SETTLED,AU,2025-01-19
2024-12-18,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,25.99,SALE,APPROVED,,AU,
2024-12-18,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,25.99,SALE,NEW,,AU,
2024-12-18,2024-12-19,2025-01-18,SUBSCRIPTION,PAYPAL,,,PAYPAL,25.99,AUD,2.36,25.99,SALE,APPROVED,SETTLED,AU,2025-01-19
2024-11-18,2024-11-19,2024-12-18,SUBSCRIPTION,PAYPAL,,,PAYPAL,25.99,AUD,2.36,25.99,SALE,NEW,SETTLED,AU,2024-12-19
2024-11-18,2024-11-19,2024-12-18,SUBSCRIPTION,PAYPAL,,,PAYPAL,25.99,AUD,2.36,25.99,SALE,APPROVED,SETTLED,AU,2024-12-19
2024-11-18,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,25.99,SALE,APPROVED,,AU,
2024-11-18,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,25.99,SALE,NEW,,AU,
2024-10-18,2024-10-19,2024-11-18,SUBSCRIPTION,PAYPAL,,,PAYPAL,25.99,AUD,2.36,25.99,SALE,NEW,SETTLED,AU,2024-11-19
2024-10-18,2024-10-19,2024-11-18,SUBSCRIPTION,PAYPAL,,,PAYPAL,25.99,AUD,2.36,25.99,SALE,APPROVED,SETTLED,AU,2024-11-19
2024-10-18,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,25.99,SALE,NEW,,AU,
2024-10-18,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,25.99,SALE,APPROVED,,AU,
2024-09-18,2024-09-19,2024-10-18,SUBSCRIPTION,PAYPAL,,,PAYPAL,25.99,AUD,2.36,25.99,SALE,APPROVED,SETTLED,AU,2024-10-19
2024-09-18,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,25.99,SALE,NEW,,AU,
2024-09-18,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,25.99,SALE,APPROVED,,AU,
2024-09-18,2024-09-19,2024-10-18,SUBSCRIPTION,PAYPAL,,,PAYPAL,25.99,AUD,2.36,25.99,SALE,NEW,SETTLED,AU,2024-10-19
2024-08-18,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,25.99,SALE,APPROVED,,AU,
2024-08-18,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,25.99,SALE,NEW,,AU,
2024-08-18,2024-08-19,2024-09-18,SUBSCRIPTION,PAYPAL,,,PAYPAL,25.99,AUD,2.36,25.99,SALE,NEW,SETTLED,AU,2024-09-19
2024-08-18,2024-08-19,2024-09-18,SUBSCRIPTION,PAYPAL,,,PAYPAL,25.99,AUD,2.36,25.99,SALE,APPROVED,SETTLED,AU,2024-09-19
2024-07-18,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,25.99,SALE,NEW,,AU,
2024-07-18,2024-07-19,2024-08-18,SUBSCRIPTION,PAYPAL,,,PAYPAL,25.99,AUD,2.36,25.99,SALE,NEW,SETTLED,AU,2024-08-19
2024-07-18,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,25.99,SALE,APPROVED,,AU,
2024-07-18,2024-07-19,2024-08-18,SUBSCRIPTION,PAYPAL,,,PAYPAL,25.99,AUD,2.36,25.99,SALE,APPROVED,SETTLED,AU,2024-08-19
2024-06-18,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,25.99,SALE,NEW,,AU,
2024-06-18,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,25.99,SALE,APPROVED,,AU,
2024-06-18,2024-06-19,2024-07-18,SUBSCRIPTION,PAYPAL,,,PAYPAL,25.99,AUD,2.36,25.99,SALE,NEW,SETTLED,AU,2024-07-19
2024-06-18,2024-06-19,2024-07-18,SUBSCRIPTION,PAYPAL,,,PAYPAL,25.99,AUD,2.36,25.99,SALE,APPROVED,SETTLED,AU,2024-07-19
2024-05-18,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,22.99,SALE,NEW,,AU,
2024-05-18,2024-05-19,2024-06-18,SUBSCRIPTION,PAYPAL,,,PAYPAL,22.99,AUD,2.09,22.99,SALE,NEW,SETTLED,AU,2024-06-19
2024-05-18,2024-05-19,2024-06-18,SUBSCRIPTION,PAYPAL,,,PAYPAL,22.99,AUD,2.09,22.99,SALE,APPROVED,SETTLED,AU,2024-06-19
2024-05-18,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,22.99,SALE,APPROVED,,AU,
2024-04-18,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,22.99,SALE,NEW,,AU,
2024-04-18,2024-04-19,2024-05-18,SUBSCRIPTION,PAYPAL,,,PAYPAL,22.99,AUD,2.09,22.99,SALE,NEW,SETTLED,AU,2024-05-19
2024-04-18,2024-04-19,2024-05-18,SUBSCRIPTION,PAYPAL,,,PAYPAL,22.99,AUD,2.09,22.99,SALE,APPROVED,SETTLED,AU,2024-05-19
2024-04-18,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,22.99,SALE,APPROVED,,AU,
2024-03-18,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,22.99,SALE,NEW,,AU,
2024-03-18,2024-03-19,2024-04-18,SUBSCRIPTION,PAYPAL,,,PAYPAL,22.99,AUD,2.09,22.99,SALE,APPROVED,SETTLED,AU,2024-04-19
2024-03-18,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,22.99,SALE,APPROVED,,AU,
2024-03-18,2024-03-19,2024-04-18,SUBSCRIPTION,PAYPAL,,,PAYPAL,22.99,AUD,2.09,22.99,SALE,NEW,SETTLED,AU,2024-04-19
2024-02-18,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,22.99,SALE,NEW,,AU,
2024-02-18,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,22.99,SALE,APPROVED,,AU,
2024-02-18,2024-02-19,2024-03-18,SUBSCRIPTION,PAYPAL,,,PAYPAL,22.99,AUD,2.09,22.99,SALE,APPROVED,SETTLED,AU,2024-03-19
2024-02-18,2024-02-19,2024-03-18,SUBSCRIPTION,PAYPAL,,,PAYPAL,22.99,AUD,2.09,22.99,SALE,NEW,SETTLED,AU,2024-03-19
2024-01-18,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,22.99,SALE,NEW,,AU,
2024-01-18,2024-01-19,2024-02-18,SUBSCRIPTION,PAYPAL,,,PAYPAL,22.99,AUD,2.09,22.99,SALE,APPROVED,SETTLED,AU,2024-02-19
2024-01-18,2024-01-19,2024-02-18,SUBSCRIPTION,PAYPAL,,,PAYPAL,22.99,AUD,2.09,22.99,SALE,NEW,SETTLED,AU,2024-02-19
2024-01-18,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,22.99,SALE,APPROVED,,AU,
2023-12-18,2023-12-19,2024-01-18,SUBSCRIPTION,PAYPAL,,,PAYPAL,22.99,AUD,2.09,22.99,SALE,NEW,SETTLED,AU,2024-01-19
2023-12-18,2023-12-19,2024-01-18,SUBSCRIPTION,PAYPAL,,,PAYPAL,22.99,AUD,2.09,22.99,SALE,APPROVED,SETTLED,AU,2024-01-19
2023-12-18,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,22.99,SALE,NEW,,AU,
2023-12-18,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,22.99,SALE,APPROVED,,AU,
2023-12-17,,,payment_transaction,PAYPAL,B-1JJ023578V786254L,,,,AUD,,1.0,VALIDATE,APPROVED,,AU,
2023-11-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,22.99,SALE,NEW,,AU,
2023-11-18,2023-11-19,2023-12-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,22.99,AUD,2.09,22.99,SALE,APPROVED,SETTLED,AU,2023-12-19
2023-11-18,2023-11-19,2023-12-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,22.99,AUD,2.09,22.99,SALE,NEW,SETTLED,AU,2023-12-19
2023-11-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,22.99,SALE,APPROVED,,AU,
2023-10-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,22.99,SALE,APPROVED,,AU,
2023-10-18,2023-10-19,2023-11-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,22.99,AUD,2.09,22.99,SALE,APPROVED,SETTLED,AU,2023-11-19
2023-10-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,22.99,SALE,NEW,,AU,
2023-10-18,2023-10-19,2023-11-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,22.99,AUD,2.09,22.99,SALE,NEW,SETTLED,AU,2023-11-19
2023-09-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,22.99,SALE,NEW,,AU,
2023-09-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,22.99,SALE,APPROVED,,AU,
2023-09-18,2023-09-19,2023-10-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,22.99,AUD,2.09,22.99,SALE,APPROVED,SETTLED,AU,2023-10-19
2023-09-18,2023-09-19,2023-10-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,22.99,AUD,2.09,22.99,SALE,NEW,SETTLED,AU,2023-10-19
2023-08-18,2023-08-19,2023-09-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,22.99,AUD,2.09,22.99,SALE,NEW,SETTLED,AU,2023-09-19
2023-08-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,22.99,SALE,APPROVED,,AU,
2023-08-18,2023-08-19,2023-09-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,22.99,AUD,2.09,22.99,SALE,APPROVED,SETTLED,AU,2023-09-19
2023-08-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,22.99,SALE,NEW,,AU,
2023-07-18,2023-07-19,2023-08-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,22.99,AUD,2.09,22.99,SALE,NEW,SETTLED,AU,2023-08-19
2023-07-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,22.99,SALE,APPROVED,,AU,
2023-07-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,22.99,SALE,NEW,,AU,
2023-07-18,2023-07-19,2023-08-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,22.99,AUD,2.09,22.99,SALE,APPROVED,SETTLED,AU,2023-08-19
2023-06-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,22.99,SALE,NEW,,AU,
2023-06-18,2023-06-19,2023-07-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,22.99,AUD,2.09,22.99,SALE,NEW,SETTLED,AU,2023-07-19
2023-06-18,2023-06-19,2023-07-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,22.99,AUD,2.09,22.99,SALE,APPROVED,SETTLED,AU,2023-07-19
2023-06-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,22.99,SALE,APPROVED,,AU,
2023-05-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,22.99,SALE,APPROVED,,AU,
2023-05-18,2023-05-19,2023-06-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,22.99,AUD,2.09,22.99,SALE,APPROVED,SETTLED,AU,2023-06-19
2023-05-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,22.99,SALE,NEW,,AU,
2023-05-18,2023-05-19,2023-06-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,22.99,AUD,2.09,22.99,SALE,NEW,SETTLED,AU,2023-06-19
2023-04-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,22.99,SALE,NEW,,AU,
2023-04-18,2023-04-19,2023-05-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,22.99,AUD,2.09,22.99,SALE,APPROVED,SETTLED,AU,2023-05-19
2023-04-18,2023-04-19,2023-05-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,22.99,AUD,2.09,22.99,SALE,NEW,SETTLED,AU,2023-05-19
2023-04-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,22.99,SALE,APPROVED,,AU,
2023-03-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,22.99,SALE,APPROVED,,AU,
2023-03-18,2023-03-19,2023-04-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,22.99,AUD,2.09,22.99,SALE,NEW,SETTLED,AU,2023-04-19
2023-03-18,2023-03-19,2023-04-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,22.99,AUD,2.09,22.99,SALE,APPROVED,SETTLED,AU,2023-04-19
2023-03-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,22.99,SALE,NEW,,AU,
2023-02-18,2023-02-19,2023-03-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,22.99,AUD,2.09,22.99,SALE,NEW,SETTLED,AU,2023-03-19
2023-02-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,22.99,SALE,NEW,,AU,
2023-02-18,2023-02-19,2023-03-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,22.99,AUD,2.09,22.99,SALE,APPROVED,SETTLED,AU,2023-03-19
2023-02-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,22.99,SALE,APPROVED,,AU,
2023-01-18,2023-01-19,2023-02-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,22.99,AUD,2.09,22.99,SALE,NEW,SETTLED,AU,2023-02-19
2023-01-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,22.99,SALE,NEW,,AU,
2023-01-18,2023-01-19,2023-02-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,22.99,AUD,2.09,22.99,SALE,APPROVED,SETTLED,AU,2023-02-19
2023-01-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,22.99,SALE,APPROVED,,AU,
2022-12-18,2022-12-19,2023-01-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,22.99,AUD,2.09,22.99,SALE,NEW,SETTLED,AU,2023-01-19
2022-12-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,22.99,SALE,APPROVED,,AU,
2022-12-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,22.99,SALE,NEW,,AU,
2022-12-18,2022-12-19,2023-01-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,22.99,AUD,2.09,22.99,SALE,APPROVED,SETTLED,AU,2023-01-19
2022-11-18,2022-11-19,2022-12-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,22.99,AUD,2.09,22.99,SALE,APPROVED,SETTLED,AU,2022-12-19
2022-11-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,22.99,SALE,NEW,,AU,
2022-11-18,,,payment_transaction,PAYPAL,B-0MC63273K7112941A,,,,AUD,,22.99,SALE,APPROVED,,AU,
2022-11-18,2022-11-19,2022-12-18,SUBSCRIPTION,PAYPAL,B-0MC63273K7112941A,,PAYPAL,22.99,AUD,2.09,22.99,SALE,NEW,SETTLED,AU,2022-12-19
